name,subgenus,manualEditMLEE,removedSubSpec,removeSubGenus,genusforremovedsub,resolvedName
Colletes paniscus paniscus,,,Colletes paniscus,,,Colletes paniscus
Xylocopa tabaniformis azteca,,,Xylocopa tabaniformis,,,Xylocopa tabaniformis
Xylocopa tabaniformis androleuca,,,Xylocopa tabaniformis,,,Xylocopa tabaniformis
Xylocopa virginica texana,,,Xylocopa virginica,,,Xylocopa virginica
Xylocopa californica diamesa,,,Xylocopa californica,,,Xylocopa californica
Xylocopa californica californica,,,Xylocopa californica,,,Xylocopa californica
Svastra obliqua caliginosa,,,Svastra obliqua,,,Svastra obliqua
Hoplitis albifrons maura,,,Hoplitis albifrons,,,Hoplitis albifrons
Megachile inimica inimica,,,Megachile inimica,,,Megachile inimica
Hoplitis fulgida platyura,,,Hoplitis fulgida,,,Hoplitis fulgida
Ashmeadiella cubiceps clypeata,,,Ashmeadiella cubiceps,,,Ashmeadiella cubiceps
Megachile pugnata pugnata,,,Megachile pugnata,,,Megachile pugnata
Anthophora urbana clementina,,,Anthophora urbana,,,Anthophora urbana
Perdita wilmattae miricornis,,,Perdita wilmattae,,,Perdita wilmattae
Lasioglossum mesillensis,,Lasioglossum mesillense,,,,Lasioglossum mesillense
Eucera (Xenoglossa) gabbii crawfordi,,Eucera gabbii,,,,Eucera gabbii
Megachile exilis exilis,,,Megachile exilis,,,Megachile exilis
Hoplitis truncata truncata,,,Hoplitis truncata,,,Hoplitis truncata
Hoplitis producta producta,,,Hoplitis producta,,,Hoplitis producta
Megachile gemula gemula,,,Megachile gemula,,,Megachile gemula
Halictus confusus confusus,,,Halictus confusus,,,Halictus confusus
Holcopasites calliopsidis calliopsidis,,,Holcopasites calliopsidis,,,Holcopasites calliopsidis
Andrena pertristis carliniformis,,,Andrena pertristis,,,Andrena pertristis
Megachile melanophaea melanophaea,,,Megachile melanophaea,,,Megachile melanophaea
Heriades variolosa variolosa,,,Heriades variolosa,,,Heriades variolosa
Megachile frugalis frugalis,,,Megachile frugalis,,,Megachile frugalis
