"","beeID","plantID","monthID","sourceID","y"
"5154",13,96,6,7,0
"5157",13,97,6,7,0
"5162",13,98,6,7,0
"5166",13,99,6,7,0
"5171",13,100,6,7,0
"5178",13,101,6,7,0
"5187",13,102,6,7,0
"5196",13,103,6,7,0
"5202",13,104,6,7,0
"5207",13,106,6,7,0
"5209",13,107,6,7,0
"5217",13,108,6,7,0
"5222",13,109,6,7,0
"5231",13,110,6,7,0
"5235",13,111,6,7,0
"5244",13,112,6,7,0
"5254",13,114,6,7,0
"5260",13,116,6,7,0
"5264",13,117,6,7,0
"5271",13,118,6,7,0
"5277",13,119,6,7,0
"5284",13,120,6,7,0
"5292",13,122,6,7,0
"5294",13,123,6,7,0
"5300",13,125,6,7,0
"5306",13,126,6,7,0
"5311",14,1,6,7,0
"5318",14,2,6,7,0
"5325",14,3,6,7,0
"5330",14,4,6,7,0
"5341",14,7,6,7,0
"5344",14,8,6,7,0
"5346",14,9,6,7,0
"5350",14,10,6,7,0
"5356",14,11,6,7,0
"5360",14,12,6,7,0
"5366",14,13,6,7,0
"5369",14,14,6,7,0
"5374",14,15,6,7,0
"5382",14,17,6,7,0
"5385",14,18,6,7,0
"5388",14,19,6,7,0
"5390",14,20,6,7,0
"5394",14,21,6,7,0
"5401",14,22,6,7,0
"5402",14,23,6,7,0
"5405",14,24,6,7,0
"5410",14,25,6,7,0
"5417",14,26,6,7,0
"5421",14,28,6,7,0
"5428",14,29,6,7,0
"5430",14,30,6,7,0
"5433",14,31,6,7,0
"5440",14,32,6,7,0
"5449",14,35,6,7,0
"5459",14,37,6,7,0
"5464",14,38,6,7,0
"5470",14,40,6,7,0
"5474",14,41,6,7,0
"5481",14,42,6,7,0
"5488",14,43,6,7,0
"5493",14,44,6,7,0
"5499",14,46,6,7,0
"5515",14,51,6,7,0
"5520",14,52,6,7,0
"5524",14,53,6,7,0
"5531",14,54,6,7,0
"5537",14,55,6,7,0
"5542",14,57,6,7,0
"5545",14,58,6,7,0
"5549",14,59,6,7,0
"5554",14,60,6,7,0
"5557",14,61,6,7,0
"5564",14,62,6,7,0
"5566",14,63,6,7,0
"5570",14,64,6,7,0
"5574",14,65,6,7,0
"5580",14,66,6,7,0
"5586",14,67,6,7,0
"5593",14,69,6,7,0
"5600",14,71,6,7,0
"5608",14,74,6,7,0
"5618",14,77,6,7,0
"5619",14,78,6,7,0
"5625",14,79,6,7,0
"5633",14,82,6,7,0
"5636",14,83,6,7,0
"5642",14,85,6,7,0
"5646",14,86,6,7,0
"5651",14,88,6,7,0
"5661",14,90,6,7,0
"5665",14,91,6,7,0
"5668",14,92,6,7,0
"5670",14,93,6,7,0
"5676",14,94,6,7,0
"5678",14,95,6,7,0
"5684",14,96,6,7,0
"5687",14,97,6,7,0
"5692",14,98,6,7,0
"5696",14,99,6,7,0
"5701",14,100,6,7,0
"5707",14,101,6,7,0
"5714",14,102,6,7,0
"5721",14,103,6,7,0
"5726",14,104,6,7,0
"5731",14,106,6,7,0
"5733",14,107,6,7,0
"5740",14,108,6,7,0
"5744",14,109,6,7,0
"5751",14,110,6,7,0
"5755",14,111,6,7,0
"5762",14,112,6,7,0
"5772",14,114,6,7,0
"5777",14,116,6,7,0
"5781",14,117,6,7,0
"5787",14,118,6,7,0
"5792",14,119,6,7,0
"5799",14,120,6,7,0
"5807",14,122,6,7,0
"5809",14,123,6,7,0
"5814",14,125,6,7,0
"5819",14,126,6,7,0
"5824",15,1,6,7,0
"5829",15,2,6,7,0
"5834",15,3,6,7,0
"5837",15,4,6,7,0
"5847",15,7,6,7,0
"5850",15,8,6,7,0
"5852",15,9,6,7,0
"5854",15,10,6,7,0
"5858",15,11,6,7,0
"5861",15,12,6,7,0
"5865",15,13,6,7,0
"5868",15,14,6,7,0
"5872",15,15,6,7,0
"5877",15,17,6,7,0
"5880",15,18,6,7,0
"5883",15,19,6,7,0
"5885",15,20,6,7,0
"5887",15,21,6,7,0
"5892",15,22,6,7,0
"5893",15,23,6,7,0
"5895",15,24,6,7,0
"5898",15,25,6,7,0
"5903",15,26,6,7,0
"5906",15,28,6,7,0
"5911",15,29,6,7,0
"5913",15,30,6,7,0
"5915",15,31,6,7,0
"5920",15,32,6,7,0
"5925",15,35,6,7,0
"5933",15,37,6,7,0
"5938",15,38,6,7,0
"5941",15,40,6,7,0
"5944",15,41,6,7,0
"5949",15,42,6,7,0
"5954",15,43,6,7,0
"5957",15,44,6,7,0
"5959",15,46,6,7,0
"5968",15,51,6,7,0
"5973",15,52,6,7,0
"5977",15,53,6,7,0
"5982",15,54,6,7,0
"5986",15,55,6,7,0
"5990",15,57,6,7,0
"5993",15,58,6,7,0
"5997",15,59,6,7,0
"6002",15,60,6,7,0
"6005",15,61,6,7,0
