"","x"
"593","Bombus vagans"
"594","Bombus vandykei"
"595","Bombus variabilis"
"596","Bombus vosnesenskii"
"597","Brachylaena discolor"
"598","Brachynomada margaretae"
"599","Brachynomada melanantha"
"600","Brasenia schreberi"
"601","Brassica fruticulosa"
"602","Brassica nigra"
"603","Braunsapis albipennis"
"604","Braunsapis angolensis"
"605","Braunsapis aureoscopa"
"606","Braunsapis bouyssoui"
"607","Braunsapis debilis"
"608","Braunsapis facialis"
"609","Braunsapis foveata"
"610","Braunsapis fuscinervis"
"611","Braunsapis hewitti"
"612","Braunsapis langenburgensis"
"613","Braunsapis leptozonia"
"614","Braunsapis lyrata"
"615","Braunsapis madecassa"
"616","Braunsapis madecassella"
"617","Braunsapis nautica"
"618","Braunsapis otavica"
"619","Braunsapis paradoxa"
"620","Braunsapis rolini"
"621","Braunsapis vitrea"
"622","Brickellia californica"
"623","Brickellia eupatorioides"
"624","Buddleja davidii"
"625","Cabomba caroliniana"
"626","Cadeguala albopilosa"
"627","Cadeguala occidentalis"
"628","Caenoprosopina holmbergi"
"629","Caenoprosopis crabronina"
"630","Caladenia carnea"
"631","Caladenia congesta"
"632","Calendula officinalis"
"633","Calliandra eriophylla"
"634","Callicarpa americana"
"635","Calliopsis andreniformis"
"636","Calliopsis coloradensis"
"637","Calliopsis nebraskensis"
"638","Calliopsis philiphunteri"
"639","Calliopsis puellae"
"640","Calliopsis rhodophila"
"641","Calliopsis subalpina"
"642","Calliopsis verbenae"
"643","Calliopsis zebrata"
"644","Calliopsis zonalis"
"645","Callirhoe digitata"
"646","Callirhoe involucrata"
"647","Callisia ornata"
"648","Callistemon citrinus"
"649","Callonychium mandibulare"
"650","Calluna vulgaris"
"651","Calopogon tuberosus"
"652","Caltha palustris"
"653","Calyptranthes pallens"
"654","Calystegia sepium"
"655","Calystegia silvatica"
"656","Calystegia soldanella"
"657","Camassia scilloides"
"658","Campanula americana"
"659","Campanula persicifolia"
"660","Campanula rotundifolia"
"661","Campsis radicans"
"662","Camptopoeum clypeare"
"663","Camptopoeum negevense"
"664","Canephorula apiformis"
"665","Capicola aliceae"
"666","Capicola danforthi"
"667","Capicola flavicara"
"668","Capicola gessorum"
"669","Capicola hantamensis"
"670","Capicola micheneri"
"671","Capicola nanula"
"672","Capicola nigerrima"
"673","Capicola rhodostoma"
"674","Capicola richtersveldensis"
"675","Capsella bursa-pastoris"
"676","Cardamine bulbosa"
"677","Cardamine concatenata"
"678","Carduus pycnocephalus"
"679","Carnegiea gigantea"
"680","Carphephorus corymbosus"
"681","Carphephorus odoratissimus"
"682","Carpobrotus edulis"
"683","Carya floridana"
"684","Cassiope tetragona"
"685","Castilleja coccinea"
"686","Catalpa speciosa"
"687","Catasetum maculatum"
"688","Caulophyllum thalictroides"
"689","Caupolicana electa"
"690","Caupolicana floridana"
"691","Caupolicana yarrowi"
"692","Ceanothus americanus"
"693","Ceanothus cuneatus"
"694","Ceanothus hearstiorum"
"695","Ceanothus herbaceus"
"696","Celastrus scandens"
"697","Cellariella somalica"
"698","Cemolobus ipomoeae"
"699","Centaurea solstitialis"
"700","Centris aethyctera"
"701","Centris atripes"
"702","Centris bicornuta"
"703","Centris buchholzi"
"704","Centris chilensis"
"705","Centris cineraria"
"706","Centris decolorata"
"707","Centris labiata"
"708","Centris lanosa"
"709","Centris longimana"
"710","Centris lutea"
"711","Centris mexicana"
"712","Centris nigerrima"
"713","Centris nitida"
"714","Centris plumipes"
"715","Centris rhodophthalma"
"716","Centris rhodopus"
"717","Centris varia"
"718","Centris versicolor"
"719","Cephalanthera rubra"
"720","Cephalanthus occidentalis"
"721","Cephalotrigona zexmeniae"
"722","Cerastium fontanum"
"723","Cerastium nutans"
"724","Ceratina acantha"
"725","Ceratina arizonensis"
"726","Ceratina armata"
"727","Ceratina calcarata"
"728","Ceratina citriphila"
"729","Ceratina cobaltina"
"730","Ceratina cucurbitina"
"731","Ceratina cyanea"
"732","Ceratina dentipes"
"733","Ceratina dupla"
"734","Ceratina eximia"
"735","Ceratina japonica"
"736","Ceratina micheneri"
"737","Ceratina montana"
"738","Ceratina nanula"
"739","Ceratina neomexicana"
"740","Ceratina nyassensis"
"741","Ceratina pacifica"
"742","Ceratina penicillata"
"743","Ceratina rupestris"
"744","Ceratina smaragdula"
"745","Ceratina strenua"
"746","Ceratina tejonensis"
"747","Ceratomonia rozenorum"
"748","Cercis canadensis"
"749","Ceylalictus aldabranus"
"750","Ceylalictus congoensis"
"751","Ceylalictus madagassus"
"752","Ceylalictus muiri"
"753","Ceylalictus petiolatus"
"754","Ceylalictus punjabensis"
"755","Ceylalictus rostratus"
"756","Ceylalictus tumidus"
"757","Ceylalictus variegatus"
"758","Chaerophyllum procumbens"
"759","Chaiturus marrubiastrum"
"760","Chalepogenus caeruleus"
"761","Chalepogenus calceolariae"
"762","Chalepogenus cocuccii"
"763","Chalepogenus goeldianus"
"764","Chalepogenus herbsti"
"765","Chalepogenus neffi"
"766","Chalepogenus parvus"
"767","Chalepogenus rasmusseni"
