Checklist names,Synonyms from DL,Notes
Lasioglossum californiae,Halictus perpunctatus var californiae; Dialictus californiae; Lasioglossum (Dialictus) californiae,
Lasioglossum channelense,Lasioglossum (Lasioglossum) channelense ,
Lasioglossum diversopunctatum,Halictus diversopunctatus; Dialictus diversopunctatus; Lasioglossum (Dialictus) diversopunctatum ,
Lasioglossum hammondi,Halictus hammondi; Evylaeus hammondi; Lasioglossum (Evylaeus) hammondi ,
Lasioglossum hyalinum,Halictus (Chloralictus) hyalinus; Dialictus hyalinus ,
Lasioglossum incompletum,Halictus (Chloralictus) incompletus; Dialictus incompletus; Dialictus ornduffi; Lasioglossum (Dialictus) ornduffi; Lasioglossum (Dialictus) incompletum ,
Lasioglossum kincaidii,Halictus kincaidii; Evylaeus kincaidii; Lasioglossum (Evylaeus) kincaidii; Lasioglossum (Hemihalictus) kincaidii ,
Lasioglossum mellipes,Halictus (Lasioglossum) mellipes; Lasioglossum (Lasioglossum) mellipes ,
Lasioglossum microlepoides,Halictus microlepoides; Dialictus microlepoides; Lasioglossum (Dialictus) microlepoides ,
Lasioglossum miguelense,Halictus miguelensis; Halictus cooleyi obscurior; Evylaeus miguelensis; Lasioglossum (Evylaeus) miguelense; Lasioglossum (Sphecodogastra) miguelense ,
Lasioglossum nevadense,Halictus (Chloralictus) nevadensis; Halictus (Chloralictus) pasadenae; Dialictus nevadensis ,
Lasioglossum nigrescens,Halictus (Evylaeus) nigrescens; Evylaeus nigrescens; Lasioglossum (Evylaeus) nigrescens; Lasioglossum (Sphecodogastra) nigrescens ,
Lasioglossum ovaliceps,Halictus ovaliceps; Evylaeus ovaliceps; Lasioglossum (Evylaeus) ovaliceps; Lasioglossum (Dialictus) ovaliceps; Lasioglossum (Hemihalictus) ovaliceps ,
Lasioglossum perichlarus,"Halictus (Chloralictus) perichlarus; Halictus perichlorus, emend; Dialictus perichlarus; Lasioglossum (Dialictus) perichlarum, incorrect termination; Lasioglossum (Dialictus) perichlarus ",
Lasioglossum punctatoventre,Halictus (Chloralictus) punctatoventris; Dialictus punctatoventris ,
Lasioglossum tegulare,Halictus tegularis; Chloralictus tegularis; Lasioglossum (Chloralictus) tegulare; Dialictus tegularis;Lasioglossum (Dialictus) tegulare,
Lasioglossum titusi,Halictus titusi; Lasioglossum (Lasioglossum) titusi,
Sphecodes,,Genus
Anthidium collectum,"Anthidium compactum_homonym; Anthidium collectum, replacement name; Anthidium angelarum; Anthidium transversum; Anthidium puncticaudum; Anthidium collectum bilderbacki; Anthidium catalinense; Anthidium clementinum ",
Anthidium illustre,Anthidium serranum; Callanthidium illustre; Anthidium (Callanthidium) illustre ,
Anthidium maculosum,"Anthidium maculatum_homonym; Anthidium lupinellum; Anthidium americanum, replacement name; Anthidium uyacanum; Anthidium maculosum ",
Ashmeadiella cactorum basalis,Heriades cactorum; Ashmeadiella curriei; Ashmeadiella echinocerei; Ashmeadiella basalis nigra; Ashmeadiella basalis basalis; Ashmeadiella cactorum,
Ashmeadiella chumashae,,None
