"Family","Genus","Species","scientificName","Current Name Full","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes","resolvedPlantNames","New.Genus","New.Species"
"Asteraceae","Achillea","millefolium","Achillea millefolium","Achillea millefolium L.","compound",0,0,1,"corymb","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA,"Achillea millefolium","Achillea","millefolium"
"Asteraceae","Anthemis","cotula","Anthemis cotula","Anthemis cotula L.","compound",0,0,1,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA,"Anthemis cotula","Anthemis","cotula"
"Asteraceae","Centaurea","benedicta","Centaurea benedicta","Centaurea benedicta (L.) L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,"Centaurea benedicta","Centaurea","benedicta"
"Asteraceae","Centaurea","melitensis","Centaurea melitensis","Centaurea melitensis L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA,"Centaurea melitensis","Centaurea","melitensis"
"Asteraceae","Centaurea","solstitialis","Centaurea solstitialis","Centaurea solstitialis L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA,"Centaurea solstitialis","Centaurea","solstitialis"
"Asteraceae","Cichorium","intybus","Cichorium intybus","Cichorium intybus L.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,"Cichorium intybus","Cichorium","intybus"
"Asteraceae","Cirsium","brevistylum","Cirsium brevistylum","Cirsium brevistylum Cronquist","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,"Cirsium brevistylum","Cirsium","brevistylum"
"Asteraceae","Cirsium","occidentale","Cirsium occidentale var. californicum","Cirsium occidentale (Nutt.) Jeps. var. californicum (A. Gray) D.J. Keil & C.E. Turner","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA,"Cirsium occidentale","Cirsium","occidentale"
"Asteraceae","Cirsium","occidentale","Cirsium occidentale var. occidentale","Cirsium occidentale (Nutt.) Jeps. var. occidentale","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA,"Carduus occidentalis","Carduus","occidentalis"
"Asteraceae","Cirsium","vulgare","Cirsium vulgare","Cirsium vulgare (Savi) Ten.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,"Cirsium vulgare","Cirsium","vulgare"
"Asteraceae","Corethrogyne","filaginifolia","Corethrogyne filaginifolia","Corethrogyne filaginifolia (Hook. & Arn.) Nutt.","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA,"Corethrogyne filaginifolia","Corethrogyne","filaginifolia"
