"","sp.names"
"659","Baccharis sarothroides"
"660","Baccharis sergiloides"
"661","Baccharis tandilensis"
"662","Bacopa monnieri"
"663","Baeckea gunniana"
"664","Baeckea pentagonantha"
"665","Bahia absinthifolia"
"666","Bahiopsis deltoidea"
"667","Bahiopsis laciniata"
"668","Baileya multiradiata"
"669","Balanites aegyptiacus"
"670","Balduina angustifolia"
"671","Ballota acetabulosa"
"672","Balsamorhiza careyana"
"673","Balsamorhiza deltoidea"
"674","Balsamorhiza sagittata"
"675","Baltimora recta"
"676","Banksia integrifolia"
"677","Baptisia alba"
"678","Baptisia australis"
"679","Baptisia bracteata"
"680","Baptisia tinctoria"
"681","Barbarea vulgaris"
"682","Barkleyanthus salicifolius"
"683","Barnardia japonica"
"684","Barrosoa betonicifolia"
"685","Bartsia alpina"
"686","Basella alba"
"687","Bastardia viscosa"
"688","Bauhinia blakeana"
"689","Bauhinia divaricata"
"690","Bauhinia purpurea"
"691","Bauhinia thonningii"
"692","Bauhinia variegata"
"693","Beaucarnea recurvata"
"694","Bebbia atriplicifolia"
"695","Begonia cucullata"
"696","Begonia fuchsioides"
"697","Bejaria aestuans"
"698","Bejaria racemosa"
"699","Bellardia trixago"
"700","Bellis annua"
"701","Bellis perennis"
"702","Benincasa hispida"
"703","Berberis aquifolium"
"704","Berberis bealei"
"705","Berberis darwinii"
"706","Berberis morrisonensis"
"707","Berberis napaulensis"
"708","Berberis pumila"
"709","Berberis thunbergii"
"710","Berberis vulgaris"
"711","Berberis wilsoniae"
"712","Bergia glomerata"
"713","Berkheya rigida"
"714","Berteroa incana"
"715","Bidens aristosa"
"716","Bidens aurea"
"717","Bidens bipinnata"
"718","Bidens cernua"
"719","Bidens connata"
"720","Bidens ferulifolia"
"721","Bidens frondosa"
"722","Bidens laevis"
"723","Bidens odorata"
"724","Bidens pilosa"
"725","Bidens trichosperma"
"726","Bidens vulgata"
"727","Bignonia capreolata"
"728","Billbergia amoena"
"729","Biscutella didyma"
"730","Bituminaria bituminosa"
"731","Bixa orellana"
"732","Blakea trinervia"
"733","Blepharocalyx salicifolius"
"734","Blephilia ciliata"
"735","Blephilia hirsuta"
"736","Bletia catenulata"
"737","Bletilla striata"
"738","Blumenbachia insignis"
"739","Boechera bodiensis"
"740","Boechera dentata"
"741","Boechera laevigata"
"742","Boerhavia erecta"
"743","Bolboschoenus robustus"
"744","Boltonia asteroides"
"745","Bombus affinis"
"746","Bombus ashtoni"
"747","Bombus auricomus"
"748","Bombus bimaculatus"
"749","Bombus borealis"
"750","Bombus californicus"
"751","Bombus centralis"
"752","Bombus citrinus"
"753","Bombus crotchii"
"754","Bombus fernaldae"
"755","Bombus fervidus"
"756","Bombus fraternus"
"757","Bombus griseocollis"
"758","Bombus hortorum"
"759","Bombus hypnorum"
"760","Bombus impatiens"
"761","Bombus insularis"
"762","Bombus melanopygus"
"763","Bombus morrisoni"
